source_id,l,b,ra,dec,ra_error,dec_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,a_g_val,radial_velocity_error,parallax,parallax_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,phot_bp_rp_excess_factor,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_sigma5d_max,random_index
5256568932651156224,283.2211594527329,-4.74779108614916,149.35449360025186,-60.774868113944095,0.018937359439947423,0.019404842714392648,-17.744167816020077,7.175429519822398,0.0400878282320701,0.03771763783674216,9.72406,10.267802,9.070729,1.197073,35.21197563043691,0.0485,0.3957123377948136,1.4705314862938463,0.02133316408394058,0.21658254,-0.14709218,0.12817386,0.15133858,0.0018808682,0.09702678,-0.021495577,-0.25190356,0.08069259,-0.2545094,1.2219318,0.0,0.0,0.03296491,551257169
5256363568830831872,283.8627980830327,-4.54386643519856,150.65339504964285,-61.00126796375416,0.024092560320450478,0.024352415742244,20.144221287274455,-8.199168906019729,0.04992904995101405,0.045506603320060436,10.763869,11.29241,10.111548,1.1808615,42.38556320112838,,0.6159971078230004,1.664135610750636,0.026510708135138138,-0.019493317,-0.2675075,0.15753683,0.2600799,0.09291718,0.006881827,-0.070612796,-0.25809848,0.116591,-0.40630332,1.2274748,0.0,0.0,0.0382853,961035887
5256399131163296640,283.76564054687697,-4.149461451673773,150.97758547607089,-60.62716982684191,0.02292800695866744,0.023862907407013117,12.185054906159834,-11.083790592110061,0.04910769115392985,0.043184774146788105,10.681972,11.208362,10.031521,1.1768408,41.095752931293745,,0.18195676442342348,2.429883128074368,0.027312494960745306,0.2622179,-0.09050616,0.19442315,0.31379792,0.14339004,0.14659883,0.04780798,-0.056463636,0.09684235,-0.19813824,1.227031,0.0,1.8403736369185027E-15,0.037392102,1550684674
5256362641117777280,283.80696019750127,-4.607206100362193,150.4830717322108,-61.01846250023007,0.025326018031169545,0.0265643490700466,12.242486976439267,-33.49758029032909,0.05487173192389228,0.05377730398130408,8.775738,9.286446,8.146289,1.1401567,-40.73461843278847,,0.4196710470043847,3.355394410503729,0.028557615615207657,0.06321331,-0.32834405,0.18855006,0.20089957,0.19834246,0.002891636,-0.07418314,-0.10816436,0.14398675,-0.3076647,1.2187424,0.0,0.0,0.0405805,1283999674
5258454805565451264,282.60309804650205,-2.057214694955661,151.5715497041603,-58.25360371058708,0.028959366299259513,0.029565246035788004,-17.13721403557912,7.2143404970684735,0.06192624233815459,0.05493638790256737,8.652117,9.22477,7.98098,1.2437897,34.89391431288891,0.0993,0.14712267982538604,2.427197657968464,0.032865329634551924,0.22389928,-0.2112296,0.19601782,0.17973855,0.09259966,0.13562505,-0.0063732285,-0.14627221,0.11422426,-0.34596953,1.223115,0.0,0.0,0.044157714,2905771
5258843517278059648,282.87564875736524,-0.8834369286689983,153.26360629357154,-57.452635509836455,0.02914582428851399,0.028366395140627474,3.7607968858313443,-6.786879093692922,0.056255761332554124,0.056942783047018025,9.546652,10.160642,8.837782,1.3228598,1.9603730687548095,0.2083,0.46298884141737634,1.435331893161909,0.03293960098064916,0.24571458,-0.2641205,0.12138071,0.061699536,-0.16095747,0.21887909,-0.058344033,-0.3526254,0.13610025,-0.33729094,1.2349057,0.0,0.0,0.042710245,1028084808
5259666329928865920,281.569762799045,-1.1659725040100857,150.9991534797523,-56.92426587888946,0.03362662802382438,0.029589093692775216,-16.95290241518336,-3.0960799695397654,0.06523167098951163,0.05528394481517741,9.476362,10.070211,8.782228,1.287983,12.61739245758574,0.084,0.25301525398072877,1.725383909443255,0.03660908818772696,0.27696267,-0.21371715,0.27501294,0.32714117,0.062047105,0.09158944,-0.13706915,-0.3164586,0.166386,-0.36995852,1.2316713,0.0,2.100993216784482E-15,0.045578968,1140719044
5258501156853280256,282.262150059754,-1.6946221941527002,151.45401576661618,-57.759927362892654,0.038003231365347674,0.05270024954452626,-14.090756200581792,9.808991400238629,0.09773364112732541,0.1248560619388629,9.449704,9.974993,8.814623,1.1603699,9.312452984214081,0.0303,0.19986481888306587,1.629761340481865,0.04779061784361464,0.050638773,-0.47307065,-0.11668276,-0.15563205,-0.03914269,0.58385545,0.19156392,-0.33339423,-0.008249506,-0.1506074,1.2165883,0.0,0.0,0.08817427,453733210
5259270162149632256,281.83570365909014,-1.4854068108070804,151.0438163554437,-57.33916016840672,0.036192567527379385,0.03746318574612349,-19.530631840941687,3.3066637497609324,0.07224307061288165,0.07434324665006978,8.5698,9.134039,7.9024806,1.2315583,18.058110224748013,0.1245,0.15380666181448177,2.7322923051885275,0.03788703335165,0.08590354,-0.538312,0.16695973,0.19152449,0.04656769,0.067892306,-0.15200315,-0.2693239,0.15584436,-0.46756747,1.223707,0.0,0.0,0.05148804,1503060456
5258857432971668864,282.5019038754196,-0.9310098758690306,152.64435500726347,-57.27829952531053,0.03183078069662327,0.0292800022802328,-19.65834836181991,-0.40701570233885614,0.0675669714570578,0.06349685916954616,7.693399,8.294795,7.0068774,1.2879176,25.061465012468105,0.129,0.17326929483309908,3.5097170033312066,0.03707563113452646,0.09617876,-0.05668572,0.018331721,0.16086389,-0.16288601,0.39344907,0.18460158,-0.2964138,0.019847175,-0.21686924,1.2230912,0.0,0.0,0.050896257,430713246
5259028441389145728,282.0679841462607,-0.4933181060877037,152.45587492332805,-56.67061623082529,0.028616155820341292,0.03084080763897505,-8.416672230539698,-2.789975336828352,0.057782365675156565,0.05949909087240552,7.631708,8.155566,7.003237,1.1523294,15.906239422619104,,0.1460532130423712,4.67166042488697,0.03412911299432847,0.18465258,-0.28674462,0.17064084,0.16424836,-0.083430335,0.054087475,-0.1500899,-0.26817644,0.15722562,-0.28775063,1.2125432,0.0,1.958953580457255E-15,0.041141696,586938803
